"Station","Date","Lat","Long","precip_mm","Tmin_C","Tmax_C"
"USC00131793","1899-03-01",41.8747,-94.6705,0,NA,NA
"USC00131793","1899-03-02",41.8747,-94.6705,0,NA,NA
"USC00131793","1899-03-03",41.8747,-94.6705,0,NA,NA
"USC00131793","1899-03-04",41.8747,-94.6705,0,-10.6,0
"USC00131793","1899-03-05",41.8747,-94.6705,0,-12.8,-5.6
"USC00131793","1899-03-06",41.8747,-94.6705,0,-20,-11.7
"USC00131793","1899-03-07",41.8747,-94.6705,0,-18.3,-3.9
"USC00131793","1899-03-08",41.8747,-94.6705,0,-9.4,10.6
"USC00131793","1899-03-09",41.8747,-94.6705,0,-0.6,8.3
"USC00131793","1899-03-10",41.8747,-94.6705,0,1.1,16.7
"USC00131793","1899-03-11",41.8747,-94.6705,11.4,-2.8,13.9
"USC00131793","1899-03-12",41.8747,-94.6705,0,-8.3,-1.7
"USC00131793","1899-03-13",41.8747,-94.6705,0,-7.8,1.7
"USC00131793","1899-03-14",41.8747,-94.6705,6.9,-1.1,1.1
"USC00131793","1899-03-15",41.8747,-94.6705,0,-7.2,1.1
"USC00131793","1899-03-16",41.8747,-94.6705,0,-12.2,-3.3
"USC00131793","1899-03-17",41.8747,-94.6705,2.3,-5,0
"USC00131793","1899-03-18",41.8747,-94.6705,0,-8.9,-2.2
"USC00131793","1899-03-19",41.8747,-94.6705,0,-11.7,-4.4
"USC00131793","1899-03-20",41.8747,-94.6705,0,-15,-2.2
"USC00131793","1899-03-21",41.8747,-94.6705,0,-7.2,-1.7
"USC00131793","1899-03-22",41.8747,-94.6705,0,-12.8,-2.8
"USC00131793","1899-03-23",41.8747,-94.6705,0,-16.1,-3.9
"USC00131793","1899-03-24",41.8747,-94.6705,0,-7.2,7.2
"USC00131793","1899-03-25",41.8747,-94.6705,0,-2.2,5.6
"USC00131793","1899-03-26",41.8747,-94.6705,0,-6.1,-1.1
"USC00131793","1899-03-27",41.8747,-94.6705,0,-10.6,-4.4
"USC00131793","1899-03-28",41.8747,-94.6705,0,-9.4,-1.1
"USC00131793","1899-03-29",41.8747,-94.6705,0,-8.9,-2.2
"USC00131793","1899-03-30",41.8747,-94.6705,0,-7.8,-2.2
"USC00131793","1899-03-31",41.8747,-94.6705,0,-8.9,-2.2
"USC00131793","1899-04-01",41.8747,-94.6705,0,-9.4,-0.6
"USC00131793","1899-04-02",41.8747,-94.6705,1.3,-6.7,-2.8
"USC00131793","1899-04-03",41.8747,-94.6705,0,-5,0
"USC00131793","1899-04-04",41.8747,-94.6705,0,-10,5
"USC00131793","1899-04-05",41.8747,-94.6705,0,-1.7,7.8
"USC00131793","1899-04-06",41.8747,-94.6705,0,-0.6,4.4
"USC00131793","1899-04-07",41.8747,-94.6705,0,-1.7,5.6
