"Station","Date","Lat","Long","precip_mm","Tmin_C","Tmax_C"
"USC00130149","1902-06-01",40.70392,-93.37027,14,17.2,28.9
"USC00130149","1902-06-02",40.70392,-93.37027,0.5,21.1,28.3
"USC00130149","1902-06-03",40.70392,-93.37027,21.1,16.7,29.4
"USC00130149","1902-06-04",40.70392,-93.37027,0,17.2,25
"USC00130149","1902-06-05",40.70392,-93.37027,0,16.1,27.2
"USC00130149","1902-06-06",40.70392,-93.37027,12.7,16.1,26.7
"USC00130149","1902-06-07",40.70392,-93.37027,9.7,13.9,24.4
"USC00130149","1902-06-08",40.70392,-93.37027,0,9.4,25.6
"USC00130149","1902-06-09",40.70392,-93.37027,0,9.4,27.2
"USC00130149","1902-06-10",40.70392,-93.37027,0,16.7,32.8
"USC00130149","1902-06-11",40.70392,-93.37027,1.3,17.8,33.9
"USC00130149","1902-06-12",40.70392,-93.37027,1,21.1,31.7
"USC00130149","1902-06-13",40.70392,-93.37027,20.1,17.8,25.6
"USC00130149","1902-06-14",40.70392,-93.37027,7.9,18.9,31.1
"USC00130149","1902-06-15",40.70392,-93.37027,0,18.9,28.3
"USC00130149","1902-06-16",40.70392,-93.37027,0,10.6,23.3
"USC00130149","1902-06-17",40.70392,-93.37027,0,12.2,23.9
"USC00130149","1902-06-18",40.70392,-93.37027,2.5,13.9,22.8
"USC00130149","1902-06-19",40.70392,-93.37027,14,10,21.7
"USC00130149","1902-06-20",40.70392,-93.37027,9.4,11.1,18.9
"USC00130149","1902-06-21",40.70392,-93.37027,0,5.6,18.3
"USC00130149","1902-06-22",40.70392,-93.37027,0,5.6,19.4
"USC00130149","1902-06-23",40.70392,-93.37027,3.6,11.1,23.9
"USC00130149","1902-06-24",40.70392,-93.37027,0,14.4,25.6
"USC00130149","1902-06-25",40.70392,-93.37027,0,17.2,24.4
"USC00130149","1902-06-26",40.70392,-93.37027,0,8.3,22.2
"USC00130149","1902-06-27",40.70392,-93.37027,11.4,11.1,18.9
"USC00130149","1902-06-28",40.70392,-93.37027,41.7,11.7,15
"USC00130149","1902-06-29",40.70392,-93.37027,10.9,11.7,20
"USC00130149","1902-06-30",40.70392,-93.37027,0,11.7,18.9
"USC00130149","1902-07-01",40.70392,-93.37027,3,10.6,22.8
"USC00130149","1902-07-02",40.70392,-93.37027,17.3,18.3,30
"USC00130149","1902-07-03",40.70392,-93.37027,0,20.6,31.7
"USC00130149","1902-07-04",40.70392,-93.37027,0,20.6,29.4
"USC00130149","1902-07-05",40.70392,-93.37027,0,21.1,30.6
