"Station","Date","Lat","Long","precip_mm","Tmin_C","Tmax_C"
"USC00143620","1893-01-01",38.1429,-97.42,0,-10,2.2
"USC00143620","1893-01-02",38.1429,-97.42,0,-1.1,2.8
"USC00143620","1893-01-03",38.1429,-97.42,0,-3.3,3.3
"USC00143620","1893-01-04",38.1429,-97.42,0,-1.1,7.8
"USC00143620","1893-01-05",38.1429,-97.42,0,-0.6,0
"USC00143620","1893-01-06",38.1429,-97.42,0,-9.4,2.2
"USC00143620","1893-01-07",38.1429,-97.42,0,-1.7,-0.6
"USC00143620","1893-01-08",38.1429,-97.42,0,-8.3,2.2
"USC00143620","1893-01-09",38.1429,-97.42,0,0,2.2
"USC00143620","1893-01-10",38.1429,-97.42,0,-8.3,-0.6
"USC00143620","1893-01-11",38.1429,-97.42,0,-4.4,3.3
"USC00143620","1893-01-12",38.1429,-97.42,0,-7.8,1.7
"USC00143620","1893-01-13",38.1429,-97.42,0,-14.4,-3.3
"USC00143620","1893-01-14",38.1429,-97.42,0,-11.1,-8.9
"USC00143620","1893-01-15",38.1429,-97.42,0,-16.7,-4.4
"USC00143620","1893-01-16",38.1429,-97.42,0,-12.8,-0.6
"USC00143620","1893-01-17",38.1429,-97.42,0.3,-9.4,-1.1
"USC00143620","1893-01-18",38.1429,-97.42,0,-12.8,-4.4
"USC00143620","1893-01-19",38.1429,-97.42,0,-12.2,0
"USC00143620","1893-01-20",38.1429,-97.42,0,-10,8.9
"USC00143620","1893-01-21",38.1429,-97.42,0,-7.2,5.6
"USC00143620","1893-01-22",38.1429,-97.42,0,-6.7,12.2
"USC00143620","1893-01-23",38.1429,-97.42,0,-4.4,5.6
"USC00143620","1893-01-24",38.1429,-97.42,0,-3.3,10
"USC00143620","1893-01-25",38.1429,-97.42,0,-3.3,11.1
"USC00143620","1893-01-26",38.1429,-97.42,0.3,-14.4,-12.2
"USC00143620","1893-01-27",38.1429,-97.42,1,-13.3,-8.9
"USC00143620","1893-01-28",38.1429,-97.42,0,-7.8,-6.1
"USC00143620","1893-01-29",38.1429,-97.42,0,-17.8,-5.6
"USC00143620","1893-01-30",38.1429,-97.42,0,-11.1,-5.6
"USC00143620","1893-01-31",38.1429,-97.42,0,-1.1,12.2
"USC00143620","1893-02-01",38.1429,-97.42,0.3,-22.2,-22.2
"USC00143620","1893-02-02",38.1429,-97.42,1.5,-18.9,-6.7
"USC00143620","1893-02-03",38.1429,-97.42,0,-18.9,-11.7
"USC00143620","1893-02-04",38.1429,-97.42,0,-13.3,1.1
"USC00143620","1893-02-05",38.1429,-97.42,0,-1.1,10
"USC00143620","1893-02-06",38.1429,-97.42,0.3,-21.7,-13.9
"USC00143620","1893-02-07",38.1429,-97.42,0,-18.9,-7.8
"USC00143620","1893-02-08",38.1429,-97.42,1.8,-11.7,-4.4
"USC00143620","1893-02-09",38.1429,-97.42,0,-3.3,6.7
"USC00143620","1893-02-10",38.1429,-97.42,0,-5.6,3.3
"USC00143620","1893-02-11",38.1429,-97.42,NA,-3.9,4.4
"USC00143620","1893-02-12",38.1429,-97.42,0,-6.7,7.8
"USC00143620","1893-02-13",38.1429,-97.42,10.7,0,4.4
"USC00143620","1893-02-14",38.1429,-97.42,0.5,-11.1,-8.9
"USC00143620","1893-02-15",38.1429,-97.42,0,-11.1,0
"USC00143620","1893-02-16",38.1429,-97.42,0,-5.6,5.6
"USC00143620","1893-02-17",38.1429,-97.42,8.1,-7.8,4.4
"USC00143620","1893-02-18",38.1429,-97.42,0,-7.8,5
"USC00143620","1893-02-19",38.1429,-97.42,0,-4.4,7.8
"USC00143620","1893-02-20",38.1429,-97.42,0,-4.4,5.6
"USC00143620","1893-02-21",38.1429,-97.42,0,-2.8,5
"USC00143620","1893-02-22",38.1429,-97.42,0,-3.3,12.2
"USC00143620","1893-02-23",38.1429,-97.42,0,0,7.8
"USC00143620","1893-02-24",38.1429,-97.42,0,-2.8,5.6
"USC00143620","1893-02-25",38.1429,-97.42,0,-5.6,7.8
"USC00143620","1893-02-26",38.1429,-97.42,0,-1.1,12.2
"USC00143620","1893-02-27",38.1429,-97.42,0,-4.4,-7.8
"USC00143620","1893-02-28",38.1429,-97.42,0,-11.1,3.3
"USC00143620","1893-03-01",38.1429,-97.42,0,-5.6,11.1
"USC00143620","1893-03-02",38.1429,-97.42,0,1.1,13.3
"USC00143620","1893-03-03",38.1429,-97.42,0,-6.1,-9.4
"USC00143620","1893-03-04",38.1429,-97.42,0,-15,-0.6
"USC00143620","1893-03-05",38.1429,-97.42,0,-7.8,7.8
"USC00143620","1893-03-06",38.1429,-97.42,0,1.7,12.8
"USC00143620","1893-03-07",38.1429,-97.42,7.6,1.7,10.6
"USC00143620","1893-03-08",38.1429,-97.42,0,4.4,10
"USC00143620","1893-03-09",38.1429,-97.42,0,-2.2,13.3
"USC00143620","1893-03-10",38.1429,-97.42,0,5.6,17.2
"USC00143620","1893-03-11",38.1429,-97.42,0,-1.1,12.2
"USC00143620","1893-03-12",38.1429,-97.42,0,-0.6,20
"USC00143620","1893-03-13",38.1429,-97.42,0,1.1,3.3
"USC00143620","1893-03-14",38.1429,-97.42,0,-10,0
"USC00143620","1893-03-15",38.1429,-97.42,0,-12.2,1.1
"USC00143620","1893-03-16",38.1429,-97.42,NA,-2.2,7.8
"USC00143620","1893-03-17",38.1429,-97.42,NA,-8.3,-2.8
"USC00143620","1893-03-18",38.1429,-97.42,0,-11.1,7.8
"USC00143620","1893-03-19",38.1429,-97.42,0,-0.6,13.9
"USC00143620","1893-03-20",38.1429,-97.42,0,8.9,15.6
"USC00143620","1893-03-21",38.1429,-97.42,0,2.2,12.2
"USC00143620","1893-03-22",38.1429,-97.42,5.1,3.3,23.3
"USC00143620","1893-03-23",38.1429,-97.42,0,2.2,4.4
"USC00143620","1893-03-24",38.1429,-97.42,0,-2.2,6.7
"USC00143620","1893-03-25",38.1429,-97.42,0,-5.6,6.7
"USC00143620","1893-03-26",38.1429,-97.42,0,-5.6,12.2
"USC00143620","1893-03-27",38.1429,-97.42,0.3,1.7,20.6
"USC00143620","1893-03-28",38.1429,-97.42,0,-5.6,10
"USC00143620","1893-03-29",38.1429,-97.42,0,-2.2,18.9
"USC00143620","1893-03-30",38.1429,-97.42,0,3.3,26.7
"USC00143620","1893-03-31",38.1429,-97.42,0,5.6,24.4
"USC00143620","1893-04-01",38.1429,-97.42,0,2.2,15.6
"USC00143620","1893-04-02",38.1429,-97.42,0,3.3,23.3
"USC00143620","1893-04-03",38.1429,-97.42,0,13.3,27.8
"USC00143620","1893-04-04",38.1429,-97.42,0,7.2,27.2
"USC00143620","1893-04-05",38.1429,-97.42,0,7.8,29.4
"USC00143620","1893-04-06",38.1429,-97.42,0,13.9,33.9
"USC00143620","1893-04-07",38.1429,-97.42,0,20.6,23.9
"USC00143620","1893-04-08",38.1429,-97.42,0,3.9,12.8
"USC00143620","1893-04-09",38.1429,-97.42,0,2.2,7.8
"USC00143620","1893-04-10",38.1429,-97.42,0,2.8,16.7
"USC00143620","1893-04-11",38.1429,-97.42,0,13.3,26.7
"USC00143620","1893-04-12",38.1429,-97.42,0,1.7,19.4
"USC00143620","1893-04-13",38.1429,-97.42,0,3.3,6.7
"USC00143620","1893-04-14",38.1429,-97.42,0,-3.3,10.6
"USC00143620","1893-04-15",38.1429,-97.42,0,-2.8,17.2
"USC00143620","1893-04-16",38.1429,-97.42,0,-2.2,20
"USC00143620","1893-04-17",38.1429,-97.42,0,10,24.4
"USC00143620","1893-04-18",38.1429,-97.42,0,10.6,25.6
"USC00143620","1893-04-19",38.1429,-97.42,4.6,5.6,6.7
"USC00143620","1893-04-20",38.1429,-97.42,0,-2.2,6.7
"USC00143620","1893-04-21",38.1429,-97.42,0,-2.8,12.8
"USC00143620","1893-04-22",38.1429,-97.42,0,3.3,13.3
"USC00143620","1893-04-23",38.1429,-97.42,0,4.4,17.8
"USC00143620","1893-04-24",38.1429,-97.42,0,11.1,30
"USC00143620","1893-04-25",38.1429,-97.42,0,15.6,28.9
"USC00143620","1893-04-26",38.1429,-97.42,0,2.2,14.4
"USC00143620","1893-04-27",38.1429,-97.42,0,-2.2,24.4
"USC00143620","1893-04-28",38.1429,-97.42,0,1.1,27.8
"USC00143620","1893-04-29",38.1429,-97.42,0.3,1.1,3.3
"USC00143620","1893-04-30",38.1429,-97.42,0,2.2,5.6
"USC00143620","1893-05-01",38.1429,-97.42,0,-2.8,16.7
"USC00143620","1893-05-02",38.1429,-97.42,0,-0.6,22.8
